idTweet,hashtag,hashtagBrut,indiceStart,indiceEnd
6.74128E+17,socionoel,SocioNoel,0,10
6.74121E+17,socionoel,SocioNoel,0,10
6.74121E+17,associatif,associatif,63,74
6.74111E+17,socionoel,SocioNoel,0,10
6.73981E+17,socionoel,SocioNoel,0,10
6.73982E+17,socionoel,SocioNoel,0,10
6.73968E+17,socionoel,SocioNoel,0,10
6.73968E+17,sociologie,sociologie,28,39
6.73965E+17,socionoel,socioNoel,128,138
6.73963E+17,econoel,EcoNoel,0,8
6.73963E+17,socionoel,SocioNoel,22,32
6.73962E+17,socionoel,SocioNoel,3,13
6.73959E+17,socionoel,SocioNoel,9,19
6.73955E+17,socionoel,SocioNoel,77,87
6.73948E+17,socionoel,SocioNoel,8,18
6.73938E+17,socionoel,SocioNoel,0,10
6.73928E+17,socionoel,SocioNoel,48,58
6.73921E+17,socionoel,SocioNoel,0,10
6.73917E+17,socionoel,SocioNoel,3,13
6.73917E+17,socionoel,SocioNoel,0,10
6.73914E+17,socionoel,SocioNoel,15,25
6.73911E+17,socionoel,SocioNoel,0,10
6.73897E+17,socionoel,SocioNoel,0,10
6.73895E+17,socionoel,SocioNoel,0,10
6.73891E+17,socionoel,SocioNoel,0,10
6.7389E+17,socionoel,SocioNoel,24,34
6.73889E+17,socionoel,SocioNoël,0,10
6.73765E+17,socionoel,SocioNoel,8,18
6.73601E+17,socionoel,SocioNoel,124,134
6.7359E+17,socionoel,SocioNoel,43,53
6.73569E+17,socionoel,SocioNoel,0,10
6.73558E+17,socionoel,SocioNoël,27,37
6.73886E+17,socionoel,SocioNoel,30,40
6.73873E+17,socionoel,SocioNoel,0,10
6.7387E+17,socionoel,SocioNoel,0,10
6.7387E+17,day7,Day7,11,16
6.7387E+17,socionoel,SocioNoel,0,10
6.73865E+17,socionoel,SocioNoel,0,10
6.73865E+17,day7,Day7,11,16
6.73856E+17,socionoel,SocioNoel,20,30
6.73855E+17,socionoel,SocioNoel,17,27
